City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
353,Rabo De Peixe,PT,62.28,scattered clouds,37.8,-25.5833,Quinta das Giestas
354,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
355,Esperance,AU,62.02,clear sky,-33.8667,121.9,Hospitality Esperance
356,Brae,GB,42.71,overcast clouds,60.3964,-1.353,Busta House Hotel
357,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
358,Polewali,ID,75.76,overcast clouds,-3.4324,119.3435,Lilianto Hotel
360,Ariquemes,BR,76.6,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
362,Bundaberg,AU,68.29,few clouds,-24.85,152.35,Takalvan Motel
363,Alexandria,EG,57.16,scattered clouds,31.2156,29.9553,Royal Crown Hotel
366,Moussoro,TD,81.18,clear sky,13.6408,16.4901,Hôtel Salama
368,Taganak,PH,75.34,overcast clouds,6.0833,118.3,Taganak
373,Graham,US,52.48,clear sky,47.0529,-122.2943,Moxie Meadows Hostel
374,Tres Arroyos,AR,81.61,clear sky,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
375,Itarema,BR,85.44,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
376,Mumford,GH,81.0,light rain,5.2618,-0.759,Spanish Villa
377,Ambulu,ID,75.25,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
379,Bilma,NE,72.37,clear sky,18.6853,12.9164,Expeditions Ténére voyages
380,Mutoko,ZW,66.09,scattered clouds,-17.397,32.2268,Mutoko Hotel
381,Isla Vista,US,82.35,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
382,Qui Nhon,VN,73.94,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
383,Portland,US,55.11,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
385,Marsa Matruh,EG,59.2,few clouds,31.3525,27.2453,Beau Site
386,Srandakan,ID,62.73,heavy intensity rain,-7.9386,110.2506,Puri Brata
387,Mana,GF,80.37,broken clouds,5.6592,-53.7767,LE SAMANA
388,Sehithwa,BW,77.43,broken clouds,-20.4667,22.7167,MONLEK GUEST HOUSE
389,Kuala Terengganu,MY,76.95,scattered clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
390,Vila Franca Do Campo,PT,63.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
391,Manggar,ID,77.59,broken clouds,-2.8833,108.2667,Guest Hotel
393,Eyl,SO,75.58,broken clouds,7.9803,49.8164,Amiin Hotel
395,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
396,The Valley,AI,80.74,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
397,Bubaque,GW,78.98,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
399,Skofja Loka,SI,35.85,clear sky,46.1655,14.3063,Turizem Loka - B&B & Wellness
400,Nichinan,JP,52.75,overcast clouds,31.6,131.3667,Guest House Aki
401,Namibe,AO,76.44,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
402,Shreveport,US,51.26,clear sky,32.5251,-93.7502,Bally's Shreveport Casino & Hotel (Formerly Eldorado Casino Shreveport)
406,Dinard,FR,51.89,moderate rain,48.6314,-2.0614,EMERIA Hôtel Thalasso & Spa
407,Praia Da Vitoria,PT,61.75,broken clouds,38.7333,-27.0667,Hotel Branco I
408,Kruisfontein,ZA,66.69,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
410,Geraldton,AU,73.81,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
411,Doha,QA,64.38,clear sky,25.2867,51.5333,Movenpick Hotel Doha
412,Coahuayana,MX,90.88,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
413,Mangrol,IN,69.62,clear sky,21.1167,70.1167,Hotel The Royal Honours
414,Nueve De Julio,AR,77.72,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
415,Key West,US,72.0,few clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
416,Isla Mujeres,MX,78.85,broken clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
417,Atar,MR,84.25,overcast clouds,20.5169,-13.0499,Oumou Elghoura
418,Vagur,FO,36.3,overcast clouds,61.4732,-6.8119,Budget Guesthouse Borgustova
419,Sao Joao Da Barra,BR,82.49,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
420,Vila,PT,43.68,overcast clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
422,Hattiesburg,US,51.22,clear sky,31.3271,-89.2903,Deluxe Inn
423,Bani Walid,LY,57.94,clear sky,31.7566,13.9942,منزل مفتاح محمد الزلبي
424,Eydhafushi,MV,81.64,overcast clouds,5.1033,73.0708,Soneva Fushi
426,Quatre Cocos,MU,81.09,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
427,Cabedelo,BR,88.47,clear sky,-6.9811,-34.8339,Hotel Pigalle
428,Lompoc,US,82.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
429,Roebourne,AU,85.66,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
430,La Romana,DO,88.16,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
432,Paka,MY,76.93,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
433,Acapulco,MX,85.82,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
434,Bhainsa,IN,58.26,clear sky,26.9548,76.9012,Satto pawta
435,Isiro,CD,79.14,broken clouds,2.7739,27.616,Guest House Hewa Bora
437,De Aar,ZA,79.92,broken clouds,-30.6497,24.0123,Nyibiba Guesthouse
439,Petatlan,MX,85.8,broken clouds,17.5167,-101.2667,Hotel California Petatlán
440,Ghorawal,IN,54.82,clear sky,24.7667,82.7833,Abbas Ujjwal Tent House
441,Lillooet,CA,47.23,broken clouds,50.6856,-121.942,Hotel Victoria
442,Codrington,AU,59.99,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
443,Lexington Park,US,40.68,overcast clouds,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
444,Hervey Bay,AU,68.11,few clouds,-25.2986,152.8535,Shelly Bay Resort
446,Bowen,AU,78.82,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
